,UserID,Age,Gender,Occupation,Zipcode,NormalizedAge,AgeGroup,Male,Female,State,Teenager,Youth,MiddleAge,Senior,SuperSenior,administrator,artist,doctor,educator,engineer,entertainment,executive,healthcare,homemaker,lawyer,librarian,marketing,none,other,programmer,retired,salesman,scientist,student,technician,writer,AZ,CA,FL,OH,PA,WA,VT,MA,GA,CT,SC,MN,OR,NY,TN,KY,MI,MD,TX,NC,WI,CO,IN,IA,NJ,,UT,IL,VA,OK,NH,DC,NV,NE,LA,MO,KS,AK,AL,ID,ND,MS,AR,MT,NM,RI,HI,WV,ME,DE,WY,SD,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,ActionRating,AdventureRating,AnimationRating,ChildrenRating,ComedyRating,CrimeRating,DocumentaryRating,DramaRating,FantasyRating,FilmNoirRating,HorrorRating,MusicalRating,MysteryRating,RomanceRating,SciFiRating,ThrillerRating,WarRating,WesternRating,NumMoviesWatched,unknownPreference,ActionPreference,AdventurePreference,AnimationPreference,ChildrenPreference,ComedyPreference,CrimePreference,DocumentaryPreference,DramaPreference,FantasyPreference,FilmNoirPreference,HorrorPreference,MusicalPreference,MysteryPreference,RomancePreference,SciFiPreference,ThrillerPreference,WarPreference,WesternPreference
0,1,24,1,technician,85711,0.3287671232876712,Youth,1,0,AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12776831345826234,0.07155025553662692,0.020442930153321975,0.04258943781942078,0.15502555366269166,0.04258943781942078,0.008517887563884156,0.18228279386712096,0.0034071550255536627,0.0017035775127768314,0.022146507666098807,0.022146507666098807,0.008517887563884156,0.07495741056218058,0.07325383304940375,0.08858603066439523,0.04258943781942078,0.010221465076660987,0.6666666666666666,0.5857142857142857,0.6666666666666666,0.44,0.6945054945054945,0.688,0.96,0.7850467289719626,0.7,1.0,0.6923076923076923,0.5846153846153846,0.72,0.7863636363636364,0.8,0.7230769230769231,0.736,0.7333333333333333,587.0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,2,53,0,other,94043,0.726027397260274,Senior,0,1,CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08130081300813008,0.024390243902439025,0.008130081300813009,0.032520325203252036,0.13008130081300814,0.07317073170731707,0.0,0.2845528455284553,0.008130081300813009,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.032520325203252036,0.13008130081300814,0.032520325203252036,0.0975609756097561,0.024390243902439025,0.0,0.76,0.8666666666666667,0.8,0.6,0.7625,0.7555555555555555,0.0,0.7657142857142857,0.6,0.9,0.6,0.6,0.7,0.825,0.75,0.7166666666666667,0.7333333333333333,0.0,123.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2,3,23,1,writer,32067,0.3150684931506849,Youth,1,0,FL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11475409836065574,0.03278688524590164,0.0,0.0,0.09836065573770492,0.08196721311475409,0.00819672131147541,0.18032786885245902,0.0,0.01639344262295082,0.040983606557377046,0.01639344262295082,0.09016393442622951,0.040983606557377046,0.06557377049180328,0.1721311475409836,0.040983606557377046,0.0,0.5571428571428572,0.7,0.0,0.0,0.5166666666666667,0.6,1.0,0.5818181818181818,0.0,0.5,0.48,0.4,0.6363636363636364,0.68,0.55,0.5047619047619047,0.56,0.0,122.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
3,4,24,1,technician,43537,0.3287671232876712,Youth,1,0,OH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.10714285714285714,0.0,0.0,0.017857142857142856,0.017857142857142856,0.08928571428571429,0.05357142857142857,0.10714285714285714,0.19642857142857142,0.03571428571428571,0.0,0.775,0.7,0.0,0.0,1.0,0.95,1.0,0.9,0.0,0.0,0.8,1.0,0.8,0.8666666666666667,0.7666666666666667,0.7818181818181819,0.9,0.0,56.0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
4,5,33,0,other,15213,0.4520547945205479,MiddleAge,0,1,PA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583333333333334,0.0859375,0.036458333333333336,0.07552083333333333,0.21354166666666666,0.0234375,0.0,0.0703125,0.005208333333333333,0.0026041666666666665,0.07291666666666667,0.03125,0.0078125,0.049479166666666664,0.0859375,0.049479166666666664,0.036458333333333336,0.005208333333333333,0.6285714285714286,0.6484848484848484,0.7571428571428571,0.4896551724137931,0.6,0.7777777777777778,0.0,0.5333333333333333,0.5,1.0,0.5071428571428571,0.6666666666666666,0.6,0.4631578947368421,0.703030303030303,0.5894736842105263,0.6428571428571429,0.5,384.0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0
5,6,42,1,executive,98101,0.5753424657534246,MiddleAge,1,0,WA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06188118811881188,0.054455445544554455,0.024752475247524754,0.04950495049504951,0.16336633663366337,0.034653465346534656,0.0024752475247524753,0.25742574257425743,0.007425742574257425,0.01485148514851485,0.009900990099009901,0.03217821782178218,0.0297029702970297,0.10148514851485149,0.03217821782178218,0.0594059405940594,0.05198019801980198,0.012376237623762377,0.672,0.6909090909090909,0.68,0.61,0.7,0.7428571428571429,0.8,0.7461538461538462,0.4666666666666667,0.9333333333333333,0.8,0.7076923076923077,0.85,0.7560975609756098,0.6923076923076923,0.7916666666666666,0.7619047619047619,0.72,404.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
6,7,57,1,administrator,91344,0.7808219178082192,Senior,1,0,CA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11515151515151516,0.0703030303030303,0.01575757575757576,0.04363636363636364,0.10666666666666667,0.03878787878787879,0.006060606060606061,0.17696969696969697,0.008484848484848486,0.013333333333333334,0.05696969696969697,0.03151515151515152,0.025454545454545455,0.06787878787878789,0.05818181818181818,0.09333333333333334,0.0496969696969697,0.02181818181818182,0.7768421052631579,0.8,0.8923076923076924,0.8111111111111111,0.7659090909090909,0.8,0.84,0.8424657534246576,0.8285714285714286,0.7636363636363637,0.7106382978723405,0.8307692307692308,0.780952380952381,0.7714285714285715,0.7958333333333333,0.7844155844155845,0.8975609756097561,0.7888888888888889,825.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,8,36,1,administrator,5201,0.4931506849315068,MiddleAge,1,0,VT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2532467532467532,0.11038961038961038,0.0,0.01948051948051948,0.06493506493506493,0.05844155844155844,0.0,0.11038961038961038,0.0,0.006493506493506494,0.006493506493506494,0.0,0.006493506493506494,0.045454545454545456,0.11038961038961038,0.11688311688311688,0.07142857142857142,0.01948051948051948,0.8153846153846154,0.7647058823529411,0.0,0.26666666666666666,0.48,0.8222222222222222,0.0,0.8470588235294118,0.0,0.8,1.0,0.0,0.6,0.8,0.8588235294117647,0.7555555555555555,0.8727272727272727,0.8666666666666667,154.0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1
8,9,29,1,student,1002,0.3972602739726027,Youth,1,0,MA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08163265306122448,0.061224489795918366,0.0,0.0,0.12244897959183673,0.0,0.0,0.22448979591836735,0.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.16326530612244897,0.08163265306122448,0.10204081632653061,0.10204081632653061,0.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.8,0.95,0.95,0.88,0.8,0.0,49.0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0
9,10,53,1,lawyer,90703,0.726027397260274,Senior,1,0,CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708215297450425,0.039660056657223795,0.019830028328611898,0.0226628895184136,0.13314447592067988,0.0453257790368272,0.0084985835694051,0.22946175637393768,0.0028328611898017,0.025495750708215296,0.0169971671388102,0.039660056657223795,0.042492917847025496,0.10198300283286119,0.0339943342776204,0.09631728045325778,0.056657223796033995,0.014164305949008499,0.856,0.8714285714285714,0.8285714285714286,0.85,0.7872340425531915,0.9,0.8,0.854320987654321,0.8,0.9333333333333333,0.9,0.8285714285714286,0.92,0.8333333333333334,0.85,0.8647058823529412,0.88,0.92,353.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
