,UserID,SubCommunity,Community,Age,Gender,Occupation,Zipcode,AgeGroup,State,NormalizedAge,Teenager,Youth,MiddleAge,Senior,SuperSenior,administrator,artist,doctor,educator,engineer,entertainment,executive,healthcare,homemaker,lawyer,librarian,marketing,none,other,programmer,retired,salesman,scientist,student,technician,writer,AZ,CA,FL,OH,PA,WA,VT,MA,GA,CT,SC,MN,OR,NY,TN,KY,MI,MD,TX,NC,WI,CO,IN,IA,NJ,Unnamed: 60,UT,IL,VA,OK,NH,DC,NV,NE,LA,MO,KS,AK,AL,ID,ND,MS,AR,MT,NM,RI,HI,WV,ME,DE,WY,SD,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,ActionRating,AdventureRating,AnimationRating,ChildrenRating,ComedyRating,CrimeRating,DocumentaryRating,DramaRating,FantasyRating,FilmNoirRating,HorrorRating,MusicalRating,MysteryRating,RomanceRating,SciFiRating,ThrillerRating,WarRating,WesternRating,NumMoviesWatched,ActionPreference,AdventurePreference,AnimationPreference,ChildrenPreference,ComedyPreference,CrimePreference,DocumentaryPreference,DramaPreference,FantasyPreference,FilmNoirPreference,HorrorPreference,MusicalPreference,MysteryPreference,RomancePreference,SciFiPreference,ThrillerPreference,WarPreference,WesternPreference,ComWithSubCom
0,1,0,0,24,1,technician,85711,Youth,AZ,0.3287671232876712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12776831345826234,0.07155025553662693,0.02044293015332197,0.04258943781942078,0.15502555366269166,0.04258943781942078,0.008517887563884156,0.18228279386712096,0.0034071550255536627,0.0017035775127768314,0.02214650766609881,0.02214650766609881,0.008517887563884156,0.07495741056218057,0.07325383304940375,0.08858603066439523,0.04258943781942078,0.010221465076660987,0.6666666666666666,0.5857142857142857,0.6666666666666666,0.44,0.6945054945054945,0.688,0.96,0.7850467289719626,0.7,1.0,0.6923076923076923,0.5846153846153846,0.72,0.7863636363636364,0.8,0.7230769230769231,0.736,0.7333333333333333,587.0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,00
1,2,0,1,53,0,other,94043,Senior,CA,0.726027397260274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08130081300813008,0.024390243902439025,0.008130081300813009,0.032520325203252036,0.13008130081300814,0.07317073170731707,0.0,0.2845528455284553,0.008130081300813009,0.016260162601626018,0.016260162601626018,0.008130081300813009,0.032520325203252036,0.13008130081300814,0.032520325203252036,0.0975609756097561,0.024390243902439025,0.0,0.76,0.8666666666666667,0.8,0.6,0.7625,0.7555555555555555,0.0,0.7657142857142857,0.6,0.9,0.6,0.6,0.7,0.825,0.75,0.7166666666666667,0.7333333333333333,0.0,123.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,10
2,3,1,0,23,1,writer,32067,Youth,FL,0.3150684931506849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11475409836065575,0.032786885245901634,0.0,0.0,0.09836065573770493,0.08196721311475409,0.008196721311475409,0.18032786885245905,0.0,0.016393442622950817,0.04098360655737705,0.016393442622950817,0.09016393442622953,0.04098360655737705,0.06557377049180327,0.1721311475409836,0.04098360655737705,0.0,0.5571428571428572,0.7,0.0,0.0,0.5166666666666667,0.6,1.0,0.5818181818181818,0.0,0.5,0.48,0.4,0.6363636363636364,0.68,0.55,0.5047619047619047,0.56,0.0,122.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,01
3,4,1,0,24,1,technician,43537,Youth,OH,0.3287671232876712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.017857142857142856,0.10714285714285714,0.0,0.0,0.017857142857142856,0.017857142857142856,0.08928571428571429,0.05357142857142857,0.10714285714285714,0.19642857142857145,0.03571428571428571,0.0,0.775,0.7,0.0,0.0,1.0,0.95,1.0,0.9,0.0,0.0,0.8,1.0,0.8,0.8666666666666667,0.7666666666666667,0.7818181818181819,0.9,0.0,56.0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,01
4,5,0,1,33,0,other,15213,MiddleAge,PA,0.4520547945205479,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583333333333334,0.0859375,0.036458333333333336,0.07552083333333333,0.21354166666666666,0.0234375,0.0,0.0703125,0.005208333333333333,0.0026041666666666665,0.07291666666666667,0.03125,0.0078125,0.04947916666666666,0.0859375,0.04947916666666666,0.036458333333333336,0.005208333333333333,0.6285714285714286,0.6484848484848484,0.7571428571428571,0.4896551724137931,0.6,0.7777777777777778,0.0,0.5333333333333333,0.5,1.0,0.5071428571428571,0.6666666666666666,0.6,0.4631578947368421,0.703030303030303,0.5894736842105263,0.6428571428571429,0.5,384.0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,10
5,6,0,0,42,1,executive,98101,MiddleAge,WA,0.5753424657534246,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061881188118811874,0.054455445544554455,0.024752475247524757,0.049504950495049514,0.16336633663366334,0.034653465346534656,0.0024752475247524753,0.25742574257425743,0.007425742574257425,0.01485148514851485,0.0099009900990099,0.03217821782178218,0.0297029702970297,0.10148514851485148,0.03217821782178218,0.0594059405940594,0.05198019801980198,0.012376237623762377,0.672,0.6909090909090909,0.68,0.61,0.7,0.7428571428571429,0.8,0.7461538461538462,0.4666666666666667,0.9333333333333332,0.8,0.7076923076923077,0.85,0.7560975609756098,0.6923076923076923,0.7916666666666666,0.7619047619047619,0.72,404.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,00
6,7,1,2,57,1,administrator,91344,Senior,CA,0.7808219178082192,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11515151515151514,0.0703030303030303,0.01575757575757576,0.04363636363636364,0.10666666666666667,0.03878787878787879,0.006060606060606061,0.17696969696969694,0.008484848484848486,0.013333333333333334,0.056969696969696976,0.03151515151515152,0.025454545454545452,0.06787878787878789,0.058181818181818175,0.09333333333333334,0.0496969696969697,0.02181818181818182,0.7768421052631579,0.8,0.8923076923076924,0.8111111111111111,0.7659090909090909,0.8,0.84,0.8424657534246576,0.8285714285714286,0.7636363636363637,0.7106382978723405,0.8307692307692308,0.7809523809523811,0.7714285714285715,0.7958333333333333,0.7844155844155845,0.8975609756097561,0.7888888888888889,825.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
7,8,1,2,36,1,administrator,5201,MiddleAge,VT,0.4931506849315068,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2532467532467532,0.11038961038961037,0.0,0.01948051948051948,0.06493506493506493,0.05844155844155844,0.0,0.11038961038961037,0.0,0.006493506493506494,0.006493506493506494,0.0,0.006493506493506494,0.045454545454545456,0.11038961038961037,0.11688311688311688,0.07142857142857142,0.01948051948051948,0.8153846153846154,0.7647058823529411,0.0,0.26666666666666666,0.48,0.8222222222222222,0.0,0.8470588235294118,0.0,0.8,1.0,0.0,0.6,0.8,0.8588235294117647,0.7555555555555555,0.8727272727272727,0.8666666666666667,154.0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,21
8,9,0,3,29,1,student,1002,Youth,MA,0.3972602739726027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08163265306122447,0.061224489795918366,0.0,0.0,0.12244897959183673,0.0,0.0,0.22448979591836732,0.0,0.020408163265306117,0.020408163265306117,0.0,0.020408163265306117,0.16326530612244894,0.08163265306122447,0.1020408163265306,0.1020408163265306,0.0,1.0,1.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.8,0.95,0.95,0.88,0.8,0.0,49.0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,30
9,10,0,0,53,1,lawyer,90703,Senior,CA,0.726027397260274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708215297450425,0.0396600566572238,0.019830028328611898,0.0226628895184136,0.13314447592067988,0.0453257790368272,0.0084985835694051,0.2294617563739377,0.0028328611898017,0.025495750708215296,0.0169971671388102,0.0396600566572238,0.042492917847025496,0.1019830028328612,0.0339943342776204,0.09631728045325777,0.056657223796034,0.0141643059490085,0.856,0.8714285714285714,0.8285714285714286,0.85,0.7872340425531915,0.9,0.8,0.8543209876543209,0.8,0.9333333333333332,0.9,0.8285714285714286,0.92,0.8333333333333334,0.85,0.8647058823529412,0.88,0.92,353.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,00
10,11,0,1,39,0,other,30329,MiddleAge,GA,0.5342465753424658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08991825613079019,0.043596730245231606,0.0,0.01634877384196185,0.2016348773841962,0.038147138964577665,0.0,0.223433242506812,0.005449591280653951,0.0027247956403269754,0.013623978201634877,0.0027247956403269754,0.0326975476839237,0.11444141689373295,0.06267029972752043,0.08991825613079019,0.04904632152588556,0.013623978201634877,0.6121212121212121,0.625,0.0,0.6666666666666666,0.6837837837837838,0.6714285714285714,0.0,0.7512195121951221,0.8,0.6,0.64,0.4,0.6833333333333333,0.7,0.6782608695652174,0.6363636363636364,0.6888888888888889,0.76,367.0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,10
11,12,1,1,28,0,other,6405,Youth,CT,0.3835616438356164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0625,0.008928571428571428,0.026785714285714284,0.11607142857142858,0.017857142857142856,0.0,0.21428571428571427,0.0,0.0,0.008928571428571428,0.026785714285714284,0.026785714285714284,0.11607142857142858,0.0625,0.10714285714285714,0.0625,0.017857142857142856,0.8714285714285714,0.8857142857142857,0.8,0.8,0.9230769230769232,0.8,0.0,0.9083333333333332,0.0,0.0,0.2,0.9333333333333332,0.8666666666666667,0.8769230769230769,0.8285714285714286,0.8833333333333333,0.9142857142857144,0.8,112.0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,11
12,13,1,4,47,1,educator,29206,MiddleAge,SC,0.6438356164383562,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12273800157356413,0.05743509047993705,0.012588512981904013,0.04091266719118805,0.14791502753737215,0.03540519276160504,0.010228166797797013,0.17151848937844216,0.00944138473642801,0.011014948859166013,0.05900865460267505,0.024390243902439025,0.025963808025177025,0.08261211644374508,0.05114083398898505,0.0952006294256491,0.03225806451612903,0.010228166797797013,0.6102564102564103,0.6191780821917808,0.7375,0.5807692307692308,0.6074468085106383,0.6266666666666667,0.6923076923076923,0.7073394495412844,0.65,0.8571428571428571,0.3413333333333333,0.6193548387096774,0.6181818181818182,0.6742857142857143,0.6430769230769231,0.5801652892561984,0.7073170731707317,0.8,1271.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,41
13,14,0,0,45,1,scientist,55106,MiddleAge,MN,0.6164383561643836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.07,0.03,0.03,0.175,0.03,0.01,0.195,0.005,0.015,0.005,0.025,0.03,0.105,0.065,0.065,0.05,0.005,0.7666666666666667,0.9285714285714286,0.8333333333333334,0.8,0.8057142857142857,0.9,0.7,0.8153846153846154,0.6,0.9333333333333332,0.8,0.68,0.9,0.7809523809523811,0.8461538461538461,0.8153846153846154,0.8,0.8,200.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,00
14,15,1,4,49,0,educator,97301,MiddleAge,OR,0.6712328767123288,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10328638497652584,0.056338028169014086,0.009389671361502348,0.03286384976525822,0.13145539906103287,0.028169014084507043,0.0,0.22535211267605634,0.014084507042253518,0.009389671361502348,0.009389671361502348,0.009389671361502348,0.03286384976525822,0.11737089201877934,0.056338028169014086,0.11737089201877934,0.046948356807511735,0.0,0.5363636363636364,0.6,0.2,0.37142857142857133,0.5357142857142857,0.5,0.0,0.6375,0.6666666666666666,0.6,0.2,0.4,0.4857142857142857,0.688,0.5333333333333333,0.47200000000000003,0.68,0.0,213.0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,41
15,16,0,0,21,1,entertainment,10309,Youth,NY,0.2876712328767123,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09933774834437084,0.039735099337748346,0.026490066225165563,0.03642384105960265,0.1291390728476821,0.06291390728476821,0.0,0.18543046357615892,0.0033112582781456954,0.019867549668874173,0.029801324503311258,0.03311258278145696,0.026490066225165563,0.08940397350993377,0.052980132450331126,0.11258278145695363,0.04304635761589404,0.009933774834437088,0.92,0.9333333333333332,0.975,0.9454545454545454,0.8,0.9473684210526316,0.0,0.875,1.0,0.8333333333333334,0.8666666666666667,0.94,0.9,0.8296296296296296,0.925,0.888235294117647,0.8307692307692308,0.8,302.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,00
16,17,0,0,30,1,programmer,6355,MiddleAge,CT,0.410958904109589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07272727272727272,0.07272727272727272,0.01818181818181818,0.054545454545454536,0.14545454545454545,0.03636363636363636,0.0,0.3090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.054545454545454536,0.07272727272727272,0.07272727272727272,0.0,0.45,0.7,0.8,0.6,0.7,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.52,0.7333333333333333,0.5,0.5,0.0,55.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,00
17,18,0,1,35,0,other,37212,MiddleAge,TN,0.4794520547945205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04844961240310078,0.034883720930232565,0.02325581395348837,0.036821705426356585,0.19767441860465115,0.02325581395348837,0.007751937984496123,0.2732558139534884,0.007751937984496123,0.007751937984496123,0.009689922480620157,0.04651162790697674,0.017441860465116282,0.13178294573643412,0.02906976744186046,0.044573643410852716,0.05232558139534884,0.007751937984496123,0.76,0.7555555555555555,0.85,0.7894736842105263,0.7411764705882353,0.85,0.6,0.8170212765957446,0.7,0.7,0.64,0.75,0.7777777777777778,0.7441176470588236,0.68,0.7739130434782608,0.8,0.75,516.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
